Stock
ICHR
ARD
ARNC
SGBX
OI
AEM
RGLD
BIMI
OFLX
PCH
PEIX
POPE
ROLL
HLIO
CCJ
CLF
PH
SHW
ATI
BLL
AKS
SEE
CF
EMN
NUE
NEM
ATU
CXDC
USAU
DRD
GFN
HAYN
AMRS
TREC
CDXS
CHNR
LEU
AXTA
RYI
PAAS
UFPT
WWR
ZAGG
ACH
BVN
GGB
TX
PNR
GSS
MTL_p
SA
FRD
LODE
REGI
USAS
CC
HSC
CBT
LAC
ESI
ASPN
AMTX
DNN
NGD
NG
ASM
EGI
MAG
NAK
PLM
TGB
FOE
CE
GRA
WLK
SBGL
APDN
LIN
HWKN
KAMN
MATW
PPIH
WY
RS
CRS
MTX
CIR
CDE
CMC
MLI
AFI
VRS
AREC
SILV
LTHM
DOV
ASH
FMC
GOLD
SCCO
TROX
BERY
AGI
MBII
OEC
RYAM
TMST
TSE
MRC
HUN
LYB
CCK
PKG
CENX
ALB
AAU
GPL
THM
AKG
PLG
TRX
ICL
WOR
MUX
TG
TREX
GORO
CIX
KL
RXN
UFS
VHI
WAIR
WMS
GLT
OLN
SSL
PKX
PQG
GFNCP
TRS
UFPI
USAP
WIRE
ZEUS
NDSN
NNBR
NTIC
OSN
PLPC
RAVN
SCHN
SHLO
SLGN
CTHR
DSWL
EML
FFHL
FSTR
GEVO
GPRE
GSM
GURE
KGC
IP
HMY
DD
GFI
AVY
WPM
PPG
X
AUY
APD
MOS
CMT
FSI
MPVD
UAMY
SQM
SID
EGO
GEFb
LXU
B
BBL
NPO
GEF
FUL
NEU
IAG
POL
SCL
CR
MT
BHP
VNTR
ZKIN
STLD
SSRM
SWM
GPK
SXT
CMP
FSM
SMG
AVD
CSL
MTL
MWA
AU
CLW
EXK
SVM
KWR
VSM
WRK
CINR
WLKP
AQMS
GPP
RKDA
TANH
NGVT
SNES
FPH
ASV
ACMR
AQUA
CVIA
RETO
RTN
LEN
VMC
MTW
KBH
MHO
JEC
IR
CMI
HOV
UTX
PHM
HON
CMCO
DXPE
ENG
GIFI
GLDD
GRIF
AEGN
AIMC
AMWD
ASTC
ASTE
AVAV
GRBK
BWEN
HHT
AAON
PFIE
IBP
CCS
LMB
TWIN
USCR
USLM
WWD
TS
JHX
SLCA
VMI
XIN
CVU
ACA
LEGH
FTNW
EVSI
FLR
DHI
LMT
ROAD
LGIH
AGCO
VC
LII
LPX
ACM
RBA
OC
TTS
WHLR
FBHS
HURC
ISSC
BA
DE
PECK
IEA
HEBT
FPH
JELD
FBM
AIRI
LIQT
DOOR
VSTO
TMSR
EVA
SUM
CBPX
NWHM
LECO
CFX
IEX
KMT
RPM
TKR
ASML
CETX
TOL
XYL
HCR
CODA
HBP
GTES
TITN
MNTX
MYRG
OPTT
PGTI
PRIM
PRMW
RCMT
ROCK
STRL
CLWT
CVCO
DWSN
ERII
FTEK
GENC
GTLS
HDSN
IESC
IIIN
TEX
MAS
GE
ITT
JCI
FAST
CPST
ADES
APOG
MIDD
ATRO
BECN
BNSO
CCCL
CECE
CHCI
TGI
TPC
TNC
GRC
ASX
CYD
NPK
MLM
JBT
SPXC
NVR
THO
TTC
GV
TGLS
CSTE
MTH
EXP
ABR
SCX
ALG
EME
LENb
AMRC
SXI
GVA
FIX
BGG
HIL
BXC
BZH
PWR
IRET
KEQU
GFF
HEIa
AJRD
CUB
KAI
LDL
MOGa
MTZ
MLHR
FLIR
LNN
CAT
MMM
ATKR
WHLRD
TPIC
FLOW
UAVS
GCP
GMS
FND
FRTA
CETXP
WHLRD
NEWA
BBCP
TXT
SXC
BLMN
MGA
TWI
UAA
MPAA
RVLT
SFLY
SGC
SGOC
SHOO
STRT
AOBC
SYPR
TPR
GPC
SNA
SNE
BC
HOG
AZO
TM
HAS
COLM
CRWS
DXYN
FLXS
FORD
GNTX
HOFT
THRM
AVID
CAAS
NVFY
JASN
MBUU
KN
SPAR
CROX
PCAR
UEIC
VIRC
VRA
ALSN
WSM
APTV
WNC
DECK
ICON
FOSL
PII
DOGZ
VNE
GPRO
WKHS
AEYE
FIT
RACE
MCFT
SPWH
SOLO
NIO
WWW
TOWR
TEN
DLA
HY
FOXF
DAN
LKQ
MHK
HBI
GIL
MLR
OXM
MPX
NLS
DCI
ELY
SKX
HI
SRI
SCS
ATV
TILE
IKNX
IRBT
LAKE
LZB
MTOR
LRAD
LYTS
ROKU
FUV
GOLF
ADNT
FNKO
DOGZ
VIOT
GTX
NIU
YETI
VFC
ALV
TSLA
KBSF
TGEN
EFOI
LEA
FCAU
THR
UFI
LBY
TPX
ITW
MAT
HMC
RL
LEG
GWW
TTM
SWK
WHR
NKE
PTE
CVGI
DGLY
DORM
ESCA
GIII
HPJ
POOL
RCKY
SORL
ORLY
OSK
CLAR
BSET
JAKK
CTRC
JOUT
KNDI
KOSS
PVH
OESX
CPRI
WBC
FSS
HNI
AYI
MOV
CPS
JRSH
EDNT
SONO
GM
F
WEYS
SUP
HVT
AXL
NAV
SMP
AIN
CTB
ETH
MOD
RGR
BWA
MEC
UA
HOME
REVG
HMI
DLPH
SNBR
LOVE
JRSH
EDNT
OBCI
SANW
SENEA
STKL
MKC
EL
CPB
IFF
PM
HSY
SJM
ADM
DF
AVP
ECL
PEP
CVGW
FARM
BREW
ALCO
ANDE
BCPC
BRID
CALM
MNST
WDFC
AKOb
HLF
TSCO
UL
UN
ACU
WTER
SDI
RIBT
FLO
IPAR
JJSF
JVA
LANC
LCUT
PG
TLF
NUS
USFD
APRN
PETQ
EAST
FAMI
VFF
BYND
HRL
HAIN
ANFI
COTY
VRTV
DAR
BG
INGR
CHD
FMX
ABEV
REED
CELH
YGYI
TR
THS
UVV
SEB
INGR
ABEV
POST
REV
EBF
LAND
CLX
CL
STZ
MO
TAP
BFb
TSN
CAG
CCEP
KOF
K
NWL
COKE
FIZZ
RMCF
SAFM
FTFT
SUMR
TUP
CENT
CENTA
PME
LWAY
MGPI
JBSS
LMNR
PLAG
MDLZ
AGRO
BTI
BUD
MED
DEO
KMB
KO
KDP
UNFI
WVVI
PYX
BGS
SAM
MKCv
BFa
UG
CTVA
SITE
TPB
LW
HFFG
PETZ
VFF
XOM
EQT
HP
PXD
CRR
MPC
NS
SD
RCON
LLEX
RNET
TGA
HAL
COP
NE
OXY
CNX
ARCH
APA
RRC
NBR
RIG
VAL
BHGE
CLNE
CRZO
AREX
ARLP
AXAS
BKEP
CPG
GPRK
MR
DKL
SHLX
ENSV
PTEN
ZN
OII
INT
EC
SM
TAT
TOT
TGS
PBA
MTDR
TDW
WLL
SU
BRN
SNMP
CEI
SRCI
TGC
SAEX
PAGP
SGLB
SHI
AR
TRCH
GTE
IMO
LNG
OAS
HFC
ISRL
TELL
SWN
CLR
KEG
PDS
SDRL
EQNR
CEO
CDEV
LONE
VVV
AMR
PUMP
LBRT
KRP
OMP
BPMP
FLMN
QES
GLOP_pa
PRT
CEIX
APY
TALO
RTLR
CHAP
PKD
BSM
TGE
PED
BPL
CELP
CCR
FGP
GEL
GLP
HEP
NGL
PBFX
PSXP
SPH
SRLP
USAC
WES
VNOM
NRP
CRC
ENLC
ICD
PARR
XEC
ECA
PSX
FANG
USEG
USWS
MTRX
PNRG
SUN
SES
CLMT
DMLP
CCLP
HNRG
TECK
PBR
DO
MRO
WMB
NOV
DVN
VLO
NBL
CHK
HES
EOG
SLB
MUR
TTI
WTI
EPM
HLX
NGS
OIS
CZZ
PTR
YPF
PBRa
ERF
TRP
UNT
PDCE
ESTE
GBR
UGP
WPX
PACD
RDSa
RDSb
HPR
EGY
JAG
DRQ
BAS
BCEI
AM
GDP
CPE
AROC
FTK
CLB
IO
MCEP
MIND
DNR
CVX
ROSE
HESM
WTTR
HCC
NCSM
SOI
BTU
NESR
CJ
ROAN
FRAC
METC
YUMA
TUSK
XOG
CTRA
SBOW
MNRL
DSSI
AMPY
BRY
NINE
FTSI
WHD
MA
IVZ
CIM
CNS
MSBF
NBN
NBTB
SLCT
NEWT
NFBK
NRIM
NWBI
NWFL
NWLI
ORIT
OVBC
OZK
PBIP
PGC
PLBC
PMBC
PNFP
PSEC
QCRH
RBCAA
RNST
SBNY
SSB
SFST
SHBI
SMBC
SMMF
STBA
SVBI
TBBK
TBNK
TCBI
TFSL
CI
PJC
ICE
RF
AMP
STC
AIZ
CHN
KEY
ANTM
LNC
UBS
GNW
BEN
JEF
MUFG
AFL
FHN
PFG
NMR
CMA
MMC
MFG
CNBKA
COLB
CVLY
DCOM
DGICA
DNBF
EBMT
EBSB
EBTC
EEFT
EFSC
EGBN
EHTH
ERIE
EZPW
FBIZ
FBMS
FCBC
FCCO
FCCY
CIVB
FDEF
FFIC
FFIN
FFNW
FIBK
FLIC
FMNB
FSFG
FULT
GABC
GBCI
GBLI
GCBC
HAFC
HALL
HBCP
HCI
HOMB
HRZN
HTBK
HTLF
AMNB
AMSF
AROW
ASB
ASFI
ATLO
AUBN
BANC
BCBP
BDGE
BGCP
BHLB
BKSC
BMRC
BMTC
BOCH
AX
BOKF
BRKL
PTVCA
PTVCB
CAC
CACC
CART
CATY
CBAN
CBSH
CCBG
CCNE
CFBK
CFFN
FANH
FNCB
PIH
ICMB
NXQ
NXR
OFG_pa
OIA
PCF
PEO
PFN
PGP
PHK
PIM
PMX
PSF
RMT
RQI
RVT
SOR
SPE
SRV
STK
TLI
TPZ
TSI
TSLF
TY
TYG
USA
VBF
VGM
VKQ
VPV
VTN
VVR
WEA
WFC_pl
WIW
ACBI
CHI
CHW
CHY
OCSI
SSSS
MRCC
NYMTP
OFS
PFLT
WTBA
BBAR
BSAC
BCH
MGI
LM
PBCT
SAN
WBK
VLY
WLTW
CG
CEV
DHY
EAD
ECF
EVM
EVV
EVY
FAX
FCO
FEN
FTF
GGN
GLV
COHN
MVF
NBH
NBO
NEA
NKG
NOM
NRK
EVF
EVT
FDEU
FEI
FFA
FFC
FGB
FMN
FMO
FOF
FSD
GAB
GBAB
GDL
GDO
GF
GGT
GIM
GPM
GRX
GSBD
GUT
HPF
HPI
HPS
NHLD
SC
KMPR
MKL
FNB
RLI
PBIP
SHBI
TCBI
NMFC
WAL
WBS
WD
MVC
HTGC
OCSL
SUNS
GBDC
AINV
SLRC
TCRD
UVE
TMP
PRK
XAN
SF
ARR
HTH
MCY
OCN
FRC
CNA
TCF
CRDa
CRDb
BXMT
DX
NOAH
RWT
BMO
RDN
STL
BKU
BMA
GDOT
FBP
JMP
BCS
AEL
ARI
ONB
AGM
CM
PMT
MITT
RGA
AI
PZN
SHG
LFC
NLY
OFG
QQQX
TCPC
ARES
JP
PVL
ROYT
LADR
MC
SFBS
PFIS
OPB
HRTG
CARO
ISTR
AJX
EFC
FPL
SCM
ICBK
GMZ
PCM
PDI
PCI
PTY
FRBA
DB
RY
EV
AFG
FNF
NYCB
IVR
HIIQ
INBK
SFBC
UIHC
BSMX
ACGL
BPOP
VRSK
ARCC
HQY
SYF
LC
ONDK
EVR
SHG
CBU
GCAP
IHC
PB
CFR
LYG
TD
IBKC
IBOC
KINS
LBAI
LOAN
MARPS
MBWM
MCBC
MFSF
MHLD
MKTX
MLVF
MOFG
MRLN
C
GS
JPM
YIN
CIM_pa
APO_pa
IMXI
ELVT
XRF
KREF
NCBS
SMBK
FBK
NTB
SUPV
CURO
LX
FOCS
IIIV
CCB
MSVB
STXB
BFST
OBNK
BCML
LEVL
CLBK
AIHS
DNJR
KNSL
CLNC
CBTX
IPOA
GECC
ARES_pa
PHCF
ORCC
AMK
FLLCU
CFFA
BFC
CNF
SG
SPFI
HCAC
WTRE
TW
PUYI
RRBI
EVBN
CCD
BST
GER
MSB
MTR
TPL
EARN
VNRX
SAR
MMAC
CBFV
OZM
MAV
MCA
MCN
MEN
MET_pa
MFD
MFL
MFM
MFT
MFV
MGU
MHN
MITT_pa
MMT
MMU
MNP
MPA
MPV
MUI
MUJ
MVT
MYC
MYD
MYF
MYI
MYJ
NAC
NBB
NCA
NCZ
NFJ
NIE
NIM
NMI
NMT
NNC
NNY
NQP
NTG
NTX
NUM
NUV
IRL
JFR
JHS
JHY
JLS
JMT
JOF
JPI
JPS
JQC
LEO
LGI
LOR
LTS_pa
WHF
PJT
PUB
HTY
HYB
HYI
IGA
IGD
IGR
IID
INB
IQI
MSBI
STI
BRKb
BX
LAZ
AMBC
ESXB
IBTX
TSC
TPRE
APAM
HCFT
HASI
VOYA
NRZ
APO
NBHC
CPTA
SAMG
FMBH
TRUP
ALLY
FSK
TPVG
TSLX
BWFG
HNNA
NAVI
OXBR
BANX
NMIH
MFC
WRB
ORI
AXS
AJG
AGO
FAF
GPN
TWO
WDR
ASPS
CBOE
ORC
ASA
RILY
ADS
AFH
CHMG
CNOB
ABIL
NGHC
COOP
CFG
CODI
WHG
MAIN
BBDC
MCC
PNNT
GAIN
OHAI
BKCC
GLAD
PTMN
OXSQ
LTS
MSL
ACRE
OAK
WSBC
WTFC
PEBO
MORN
MPB
NKSH
NSEC
NYMT
OCFC
OLBK
OPHC
OPOF
ORRF
OSBC
OVLY
PACW
LMST
PEBK
PFBC
PFBI
PKBK
PPBI
PROV
PBBI
PWOD
RVSB
SAFT
SASR
SBBX
SBCF
SBSI
SEIC
SFNC
SIEB
SIGI
SIVB
SNFCA
SONA
SRCE
STFC
SYBT
GL
COF
MTB
FII
USB
MTG
AON
BK
UNH
COWN
TRCB
CPSS
CSFL
CSWC
CTBI
CVBF
CVCY
CWBC
CZNC
DHIL
EMCI
ESBK
ESGR
ESSA
EWBC
FBNC
FBSS
FCAP
FCFS
FCNCA
FFBC
FISI
FMBI
FNLC
FRBK
FRME
FRAF
FUNC
GFED
GLBZ
GLRE
GROW
GSBC
HWC
HBNC
HFWA
HIFS
HMNF
HWBK
IBCP
IBKR
INDB
INTL
PBBI
SNFCA
SRCE
MFIN
TCBK
FNHC
ABCB
ACNB
ACTG
ARGO
AMTD
ANAT
BLK
CME
L
CEF
ASRV
ATAX
BANF
BANR
HOPE
BFIN
BPFH
BSRR
BUSE
BYFC
CARV
CASH
CASS
CFFI
CHCO
CIZN
LPLA
LSBK
MFNC
ISBC
ITIC
KFFB
KRNY
LCNB
LKFN
BCV
BFY
BHB
BKJ
BLE
CCA
CET
CIK
CLM
CRF
DMF
EIM
ENX
ERC
ERH
GLO
GLQ
GLU
IAF
IMH
JRS
MZA
NHS
NJV
NKX
NMZ
NPN
NVG
RIF
SBI
UTG
VFL
VKI
VMM
ITUB
BSBR
BBD
ITCB
CIB
GGAL
MN
RE
BOH
CIT
CS
GBL
BRO
HSBC
PRA
BXS
FNV
BAP
PRI
CIA
HMN
PUK
RNR
BLX
SFE
OPY
CNO
FFG
BRKa
CMO
EIG
KB
SLF
BNS
FBC
INDB
ISBC
ITIC
KRNY
WNEB
WRLD
SMFG
BBVA
FCF
PFS
AMG
RBS
RJF
STWD
TREE
TRMK
TRST
TSBK
UBCP
UBFO
UBNK
AUB
UCBI
UEPS
UFCS
BDJ
BFK
BGB
BGR
BGY
BHK
BIF
BIT
BKN
BLW
BME
BSD
BSE
BSL
BTA
BWG
BXMX
CIF
CII
CMO_pe
DDF
DMO
DNI
DPG
DTF
DX_pb
EDD
EEA
EFR
EFT
EGF
EOI
ETB
ETO
ETV
ETW
EXD
EXG
FAM
FCT
FLC
FPF
FRA
FT
GAM
GCV
GDV
GFY
GGZ
GHY
GOF
HIO
HIX
PYPL
CRT
HLI
MVO
